Designator,Mid X,Mid Y,Rotation,Layer
AV1,156.6,-101.8,90.0,top
AV2,156.6,-82.75,90.0,top
C1,134.9,-68.35,0.0,top
C10,125.4,-87.15,90.0,bottom
C11,129.32,-92.5,180.0,bottom
C12,128.5,-93.45,180.0,bottom
C13,128.67,-90.45,180.0,bottom
C14,121.85,-87.0,90.0,bottom
C15,121.9,-98.55,270.0,bottom
C16,118.05,-90.1,0.0,bottom
C17,118.0,-93.8,0.0,bottom
C18,126.2,-98.18,270.0,bottom
C19,129.175,-89.15,180.0,bottom
C2,117.484996,-79.9975,90.0,top
C20,118.1,-72.55,180.0,top
C21,143.5,-93.0,0.0,top
C22,143.24,-86.85,180.0,top
C23,147.65,-100.06,180.0,top
C24,140.05,-101.59,270.0,top
C25,142.1,-98.49,90.0,top
C26,141.85,-66.75,0.0,top
C27,134.87,-70.65,0.0,top
C28,132.07,-72.502456,270.0,top
C29,106.4375,-113.19,0.0,top
C3,122.35,-99.05,270.0,top
C30,106.4575,-110.29,0.0,top
C4,124.8,-100.4,0.0,top
C5,118.45,-74.9,0.0,top
C6,123.15,-87.05,90.0,bottom
C7,123.4,-98.4,270.0,bottom
C8,117.75,-92.1,180.0,top
C9,128.55,-86.95,0.0,top
CARD1,98.45,-114.7,270.0,top
D1,135.85,-92.45,90.0,top
D2,135.85,-88.15,90.0,top
D3,135.85,-84.1,90.0,top
D4,135.95,-80.2,90.0,top
D5,149.85,-90.8875,270.0,top
D6,146.05,-82.7625,90.0,top
H1,157.0,-69.9,0.0,top
H2,64.4,-94.1,0.0,top
H3,64.2,-117.6,0.0,top
H4,157.3,-132.2,0.0,top
J1,126.5,-69.522456,180.0,top
J3,98.95,-72.635,90.0,top
J4,136.75,-107.2,270.0,top
L1,125.95,-84.2,90.0,top
Q1,148.1025,-85.9,0.0,top
R10,91.975,-82.94,90.0,top
R11,127.95,-73.95,90.0,top
R12,124.35,-74.0,270.0,top
R13,141.2025,-91.3,90.0,top
R14,139.55,-100.16,0.0,top
R15,151.9,-97.9,90.0,top
R16,141.5,-100.16,0.0,top
R17,145.29,-88.1,180.0,top
R18,143.4,-88.1,180.0,top
R19,140.6925,-86.35,180.0,top
R2,123.35,-99.1,270.0,top
R20,138.7925,-86.35,180.0,top
R21,145.29,-89.1,0.0,top
R22,140.6125,-84.05,180.0,top
R23,138.7025,-84.05,180.0,top
R24,143.9525,-85.15,180.0,top
R25,138.7125,-81.65,180.0,top
R26,93.575,-82.94,90.0,top
R27,95.175,-82.94,90.0,top
R28,96.775,-82.94,90.0,top
R29,98.325,-82.94,90.0,top
R3,138.7625,-88.7,180.0,top
R30,99.925,-82.915,90.0,top
R31,101.525,-82.915,90.0,top
R32,103.075,-82.915,90.0,top
R33,104.3,-80.4,270.0,top
R34,106.05,-80.45,270.0,top
R35,106.5875,-117.74,180.0,top
R36,106.1375,-107.59,180.0,top
R37,106.4275,-115.24,180.0,top
R38,140.6525,-88.7,0.0,top
R39,140.61,-81.65,0.0,top
R4,129.5,-100.55,90.0,top
R40,66.1,-72.1,0.0,top
R5,128.5,-85.75,180.0,top
R6,118.0,-89.5,180.0,top
R7,123.55,-86.65,270.0,top
R8,124.6,-86.65,270.0,top
SW3,114.43,-91.65,270.0,top
SW4,133.35,-99.85,0.0,top
TP1,149.65,-81.35,180.0,top
TP10,122.0,-112.6,0.0,top
TP11,131.2,-112.6,0.0,top
TP2,139.95,-79.85,180.0,top
TP3,73.4,-75.0,180.0,top
TP4,152.0,-72.2,180.0,top
TP5,149.1,-76.1,180.0,top
TP6,152.0,-68.6,180.0,top
TP7,70.2,-75.0,0.0,top
TP8,114.0,-113.0,0.0,top
TP9,116.8,-112.4,0.0,top
U1,123.429996,-93.0625,0.0,top
U2,112.35,-74.85,0.0,top
U3,116.5,-83.9,270.0,top
U4,129.5875,-76.65,180.0,top
U5,140.4,-72.22,90.0,top
U6,119.8,-116.25,0.0,top
U7,137.45,-116.05,0.0,top
U8,75.0,-73.825,180.0,bottom
Y1,121.7,-101.8,0.0,top
